board,team,round,player,position,adp,nfl_team
5,T1,6,Tucker Kraft,TE,89.4,Green Bay Packers
5,T2,1,Jahmyr Gibbs,RB,1.8,Detroit Lions
5,T2,2,Nico Collins,WR,24.3,Houston Texans
5,T2,3,Josh Jacobs,RB,27.2,Green Bay Packers
5,T2,4,Colston Loveland,TE,46.2,Chicago Bears
5,T2,5,Marvin Harrison,WR,64.8,Arizona Cardinals
5,T2,6,Michael Wilson,WR,77.6,Arizona Cardinals
5,T3,1,Ja'Marr Chase,WR,3.3,Cincinnati Bengals
5,T3,2,Chase Brown,RB,21.9,Cincinnati Bengals
5,T3,3,Josh Allen,QB,29.1,Buffalo Bills
5,T3,4,Davante Adams,WR,49.1,Los Angeles Rams
5,T3,5,Lamar Jackson,QB,51.2,Baltimore Ravens
5,T3,6,Dak Prescott,QB,80.8,Dallas Cowboys
5,T4,1,Puka Nacua,WR,4.0,Los Angeles Rams
5,T4,2,Derrick Henry,RB,20.4,Baltimore Ravens
5,T4,3,Tetairoa McMillan,WR,31.6,Carolina Panthers
5,T4,4,Zay Flowers,WR,40.8,Baltimore Ravens
5,T4,5,Bhayshul Tuten,RB,56.2,Jacksonville Jaguars
5,T4,6,Drake Maye,QB,72.0,New England Patriots
5,T5,1,Jaxon Smith-Njigba,WR,5.1,Seattle Seahawks
5,T5,2,George Pickens,WR,23.9,Dallas Cowboys
5,T5,3,Breece Hall,RB,32.1,New York Jets
5,T5,4,D.J. Moore,WR,54.0,Buffalo Bills
5,T5,5,Cam Skattebo,RB,56.3,New York Giants
5,T5,6,Trevor Lawrence,QB,83.3,Jacksonville Jaguars
5,T6,1,Jonathan Taylor,RB,6.3,Indianapolis Colts
5,T6,2,Trey McBride,TE,18.8,Arizona Cardinals
5,T6,3,Tee Higgins,WR,33.1,Cincinnati Bengals
5,T6,4,DeVonta Smith,WR,41.3,Philadelphia Eagles
5,T6,5,Terry McLaurin,WR,47.2,Washington Commanders
5,T6,6,Alec Pierce,WR,68.9,Indianapolis Colts
5,T7,1,Christian McCaffrey,RB,7.5,San Francisco 49ers
5,T7,2,Drake London,WR,19.6,Atlanta Falcons
5,T7,3,Rashee Rice,WR,34.9,Kansas City Chiefs
5,T7,4,Luther Burden,WR,42.2,Chicago Bears
5,T7,5,Rome Odunze,WR,52.9,Chicago Bears
5,T7,6,DK Metcalf,WR,77.3,Pittsburgh Steelers
5,T8,1,Amon-Ra St. Brown,WR,8.9,Detroit Lions
5,T8,2,Kenneth Walker III,RB,18.7,Kansas City Chiefs
5,T8,3,A.J. Brown,WR,29.3,Philadelphia Eagles
5,T8,4,Jaylen Waddle,WR,47.2,Denver Broncos
5,T8,5,D'Andre Swift,RB,60.8,Chicago Bears
5,T8,6,Chuba Hubbard,RB,73.8,Carolina Panthers
5,T9,1,CeeDee Lamb,WR,8.6,Dallas Cowboys
5,T9,2,Jeremiyah Love,RB,15.6,
5,T9,3,Kyren Williams,RB,34.2,Los Angeles Rams
5,T9,4,TreVeyon Henderson,RB,48.3,New England Patriots
5,T9,5,RJ Harvey,RB,66.4,Denver Broncos
5,T9,6,Tyler Warren,TE,68.0,Indianapolis Colts
5,T10,1,James Cook,RB,11.0,Buffalo Bills
5,T10,2,Saquon Barkley,RB,16.1,Philadelphia Eagles
5,T10,3,Garrett Wilson,WR,36.5,New York Jets
5,T10,4,Ladd McConkey,WR,38.6,Los Angeles Chargers
5,T10,5,Brian Thomas,WR,61.7,Jacksonville Jaguars
5,T10,6,Courtland Sutton,WR,74.8,Denver Broncos
5,T11,1,Ashton Jeanty,RB,11.9,Las Vegas Raiders
5,T11,2,Malik Nabers,WR,17.9,New York Giants
5,T11,3,Javonte Williams,RB,40.1,Dallas Cowboys
5,T11,4,David Montgomery,RB,57.1,Houston Texans
5,T11,5,Jayden Daniels,QB,62.8,Washington Commanders
5,T11,6,Xavier Worthy,WR,109.4,Kansas City Chiefs
5,T12,1,De'Von Achane,RB,13.6,Miami Dolphins
5,T12,2,Omarion Hampton,RB,15.3,Los Angeles Chargers
5,T12,3,Bucky Irving,RB,37.2,Tampa Bay Buccaneers
5,T12,4,Mike Evans,WR,49.5,San Francisco 49ers
5,T12,5,Christian Watson,WR,58.8,Green Bay Packers
5,T12,6,Caleb Williams,QB,68.8,Chicago Bears
